latitude,longitude,waterfallok,ad_attempts,ad_opportunities,impressions,start,complete
39.97,-84.97,3,28,4,2,2,2
37.29,-75.97,1,19,2,2,2,2
35.03,-85.31,5,76,1,1,1,1
36.91,-81.78,3,60,5,5,5,5
42.6,-72.73,5,74,3,3,3,3
37.11,-79.96,2,28,,,,
-32.11,115.84,11,107,1,,,
44.72,-79.82,1,10,,,,
30.86,-83.9,3,54,3,3,3,3
37.83,-122.17,1,19,1,1,1,1
38.75,-88.85,2,28,,,,
33.78,-118.12,1,14,,,,
51.38,-104.3,2,19,,,,
47.25,-95.62,1,18,1,1,1,1
31.36,-95.18,1,14,,,,
41.78,-93.26,2,30,3,2,2,1
34.7,-86.61,3,38,,,,
34.36,-83.47,2,27,,,,
40.85,-81.43,11,159,5,5,5,3
37.39,-76.32,2,14,1,1,1,
47.87,-112.45,5,73,4,3,3,3
41.88,-92.79,2,26,,,,
49.1,-97.57,3,29,,,,
42.21,-82.89,2,20,,,,
27.07,-81.42,3,42,1,1,1,1
44.27,-69.28,1,21,2,2,2,2
43.19,-83.92,7,84,1,1,1,
35.82,-79.86,2,32,4,4,4,4
-33.42,149.6,2,20,,,,
-33.93,151.15,3,29,,,,
44.98,-93.27,5,76,1,1,1,1
32.81,-85.69,1,14,,,,
38.54,-96.27,1,14,,,,
37.82,-83.78,5,46,1,1,1,
41.2,-76.18,3,49,4,3,3,3
46.11,-98.16,3,45,1,1,1,1
44.72,-85.09,2,15,1,,,
33.59,-88.13,1,14,1,,,
34,-96.01,2,27,,,,
34.1,-117.97,3569,53142,3202,2695,2607,2504
37.2,-77.46,54,958,259,250,250,241
31.05,-97.64,63,1032,82,59,59,55
38.58,-121.49,3401,50006,3502,2986,2888,2738
26.52,-80.07,72,1080,76,63,63,61
34.77,-79.46,54,870,74,64,64,65
41.94,-71.29,83,1317,142,112,112,109
40.88,-73,62,998,63,38,38,38
34.03,-118.15,1527,22477,1307,1086,1046,999
34.18,-117.25,152,2358,200,172,172,163
41.73,-93.61,56,1050,113,100,100,97
35.46,-82.87,178,2655,125,92,87,83
42.68,-70.85,6,73,3,,,
45.77,-108.58,100,1502,135,109,109,108
29.91,-95.34,52,760,49,37,37,36
26.28,-98.23,144,2945,399,351,351,336
38.61,-90.21,10,153,14,11,11,10
35.52,-79.2,204,3036,248,199,197,186
36.09,-115.15,262,4334,476,417,417,401
37.77,-122.44,74,1234,99,81,81,80
39.94,-75.15,68,950,67,50,50,45
33.78,-84.59,33,441,30,18,18,17
28.59,-81.49,175,3071,378,285,285,276
36.76,-121.76,6,154,21,21,21,21
32.25,-90.09,45,784,72,54,53,52
29.94,-81.74,25,342,11,7,7,6
37.29,-80.1,57,988,88,75,74,73
40.02,-83.02,34,658,123,116,116,111
34.02,-84.24,108,2135,199,176,176,168
32.44,-89.96,57,984,79,63,63,54
40.79,-84.03,78,1296,168,148,147,138
36.23,-93.11,14,172,35,28,28,26
33.74,-84.11,192,2982,192,158,155,144
41.23,-80.42,56,901,81,70,70,67
38.2,-77.68,9,153,18,16,16,16
42.67,-83.29,55,830,64,42,42,40
33.22,-97.15,10,140,41,36,36,33
40.4,-82.79,15,288,31,25,25,25
39.94,-105.05,69,1111,104,90,90,87
29.5,-98.67,79,1250,122,102,102,99
27.89,-97.32,25,452,44,36,36,35
38.78,-93.87,7,113,27,23,23,22
35.37,-80.52,121,1997,193,145,145,141
34.77,-82.56,89,1399,103,79,78,74
40.69,-74.23,29,458,70,62,61,57
39.19,-84.45,25,598,132,109,109,107
42.41,-76.52,131,2253,203,176,176,171
47.75,-122.2,116,1703,96,83,82,81
37.67,-121.02,471,7545,754,652,652,621
37.68,-122.48,189,3060,258,212,212,199
41.19,-80.74,42,718,140,128,128,120
37.96,-122.56,5,122,23,21,21,20
35.2,-111.65,20,280,8,4,4,4
31.85,-106.53,205,3423,300,260,260,250
42.37,-71.24,45,747,75,65,65,65
36.91,-120.2,226,3556,219,182,181,175
40.69,-76.26,97,1428,80,70,70,66
30.53,-90.46,35,665,59,50,50,45
41.98,-87.7,127,2027,126,91,91,84
43.17,-86.18,52,862,90,74,74,72
40.94,-90.38,58,868,88,65,65,62
37.56,-120.97,232,3930,408,329,329,317
41.29,-82.23,12,165,8,7,7,5
39.89,-82.96,118,1979,260,218,221,208
20.85,-156.31,192,3107,292,237,237,227
30.39,-81.68,83,1179,74,42,42,39
40.62,-75.54,163,2658,224,194,194,187
41.37,-81.86,42,773,95,75,75,72
41.36,-82.11,117,2186,306,267,267,255
38.9,-77.03,8,108,9,7,7,6
37.82,-122,80,1206,115,94,91,87
33.68,-117.91,180,2967,247,209,209,202
40.05,-75.41,13,202,20,17,17,16
41.87,-71.39,127,1917,148,109,112,103
32.72,-97.08,127,2133,182,145,145,135
42.5,-83.48,121,1752,137,108,105,100
42.08,-71.04,147,2391,197,131,131,130
34.03,-117.59,161,2733,226,192,191,187
39.58,-104.96,21,363,59,50,50,49
35.92,-84,33,487,29,22,22,20
45.89,-95.4,20,333,25,19,19,19
42.2,-75.76,63,912,49,41,38,35
34.22,-84.85,141,2066,152,122,122,122
50.98,-114.1,80,778,38,37,37,35
44.52,-85.69,8,115,7,6,6,6
39.88,-84.33,44,991,174,155,155,151
25.9,-80.3,89,1438,202,187,187,180
47.59,-117.35,98,1454,87,65,65,63
43.08,-79.03,6,99,8,3,3,3
38.81,-104.71,28,529,78,72,72,68
34.76,-82.69,76,1415,144,113,112,111
34.54,-83.31,39,600,40,30,30,29
33.82,-116.46,192,3127,283,240,239,229
41.88,-87.72,60,916,67,41,41,38
36.68,-121.61,155,2858,422,384,383,357
35.8,-105.96,4,60,7,7,7,6
39.11,-82.55,18,257,22,18,18,18
34.8,-86.62,40,568,54,42,42,38
33.94,-83.95,58,928,89,77,77,74
39.64,-119.69,146,2331,257,225,225,214
33.93,-117.56,29,487,45,38,38,36
38.71,-90.5,47,662,39,29,29,28
35.76,-81.73,172,2634,192,158,158,150
28.89,-81.74,8,175,17,14,14,14
42.63,-71.32,3,35,1,1,1,1
41.39,-81.73,110,1800,197,150,149,145
42.57,-70.86,53,770,46,36,36,32
44.94,-93.09,203,2992,233,207,200,192
40.27,-76.86,91,1444,139,122,122,112
30.43,-95.71,43,731,87,69,69,64
44.06,-88.53,75,1330,118,99,99,92
44.9,-122.92,203,3239,280,217,217,207
45.53,-73.58,89,918,42,41,41,38
32.99,-89.52,21,312,21,10,10,10
33.6,-112.18,62,1028,103,83,83,82
41.76,-88.32,61,1104,109,87,87,89
35.33,-106.72,54,788,49,32,32,31
32.96,-96.62,51,1037,143,118,118,114
47.48,-122.22,135,1976,122,92,90,85
34.01,-84.01,288,4959,453,361,360,348
52.28,-106.67,208,2180,101,99,98,97
35.51,-93.51,17,371,82,70,70,66
40.25,-74.79,85,1318,100,82,82,77
41.79,-93.72,34,517,39,34,34,32
30.38,-97.68,53,814,68,50,50,42
37.9,-122.26,29,448,52,47,47,45
33.74,-117.82,193,3100,268,228,228,218
40.33,-74.42,58,1622,472,446,446,435
34.1,-117.28,268,4265,406,362,363,340
42.92,-85.85,40,722,71,54,54,51
33.96,-118.27,359,5910,524,455,449,424
33.55,-101.9,31,571,42,36,36,35
40.9,-81.44,91,1587,221,194,194,188
27.5,-82.57,49,878,91,74,74,72
37.3,-120.48,125,1942,158,135,135,129
37.09,-88.76,1,31,20,17,17,17
43.8,-91.13,130,2158,170,130,131,116
38.56,-122.16,148,2262,184,157,157,144
33.88,-118.21,275,4283,324,257,257,235
34.09,-118.33,106,1865,134,116,116,111
36.49,-82.62,124,1937,129,106,106,100
33.57,-112.06,144,2200,131,99,99,90
26.35,-80.22,56,865,113,89,89,85
39.59,-86.11,178,2883,213,171,171,162
30.44,-97.6,116,1955,175,132,132,123
33.35,-117.43,132,2080,183,148,147,139
30.39,-87.72,72,1081,54,43,43,43
38.46,-122.69,132,2037,168,137,137,123
29.59,-95.22,114,1854,181,148,147,143
43.97,-79.25,60,669,31,31,31,31
37.78,-122.46,62,1066,98,75,75,73
32.96,-80.2,167,2563,225,194,194,183
35.67,-83.46,66,952,56,45,45,42
42.35,-83.21,82,1161,104,87,87,83
33.75,-117.89,172,2714,192,160,160,152
41.09,-80.64,49,813,120,100,100,94
42.23,-71.53,12,163,10,10,10,8
41.23,-80.76,67,1151,182,169,169,165
43.21,-77.64,42,615,45,37,37,34
26.37,-81.77,71,965,36,26,26,22
35.83,-94.42,2,28,3,2,2,2
30.46,-87.22,54,799,134,119,119,110
41.39,-81.71,84,1646,275,250,251,245
34.42,-93.05,54,839,94,82,82,75
39.74,-75.67,117,1778,238,203,201,191
42.59,-78.39,7,103,11,9,9,9
41.28,-96.25,15,197,10,6,6,4
50.45,-104.62,55,554,16,16,16,15
33.57,-85.85,32,457,11,7,7,7
33.91,-118.34,366,6362,568,480,480,460
37.33,-120.64,138,2167,212,164,165,156
34.01,-118.35,224,3763,339,284,284,266
33.87,-118.33,130,1942,160,138,137,128
35.74,-81.21,67,922,48,37,38,33
41.22,-85.81,2,28,2,,,
42.58,-83.67,58,861,58,38,38,36
39.77,-89.69,92,1252,119,96,96,89
44.81,-85.57,73,1184,101,82,82,80
38.82,-76.94,70,1105,107,81,82,76
35.09,-114.57,198,3122,241,199,199,189
39.7,-105,224,3446,254,224,223,216
25.84,-80.43,14,262,26,22,22,22
33.16,-117.17,149,2499,258,212,212,214
37.25,-122.06,34,534,45,38,38,36
42.94,-83.83,9,130,5,3,3,3
43.31,-71.69,7,82,4,2,2,1
40.7,-73.83,144,2561,183,160,161,157
37.24,-121.83,190,2921,224,184,184,174
32.41,-98.78,5,104,8,6,6,6
38.76,-121.28,154,2476,234,209,204,195
31.52,-100.3,20,310,10,8,8,8
25.86,-80.27,34,649,64,56,56,52
38.34,-121.43,159,2571,174,138,137,134
38.55,-90.84,2,30,4,1,1,1
41.53,-90.66,31,462,25,19,19,17
36.55,-86.53,46,746,83,48,48,46
39.64,-104.91,16,233,12,10,10,9
41.07,-75.13,55,1002,106,93,93,91
45.53,-122.68,97,1408,118,101,99,91
39.33,-120.25,24,389,24,23,23,22
27.79,-82.14,38,762,105,63,63,61
40.98,-76.96,42,642,34,26,26,25
45.46,-73.55,56,639,47,46,46,45
36.22,-115.17,266,4987,624,565,565,546
37.39,-121.9,10318,147323,5283,5122,5114,4889
44.96,-93.17,83,1379,180,168,168,162
41.4,-76.79,85,1474,152,127,127,120
42.48,-83.03,1536,21018,944,722,711,671
39.76,-105.02,155,2562,319,283,283,273
33.67,-112.19,149,2732,245,202,202,196
38.35,-75.54,111,1694,164,138,138,128
33.78,-84.34,696,10161,669,496,481,455
42.66,-84.07,70,1346,176,151,149,148
33.67,-116.98,152,2327,221,180,178,168
37.68,-122.13,51,755,72,65,65,60
30.2,-95.66,31,497,29,22,22,21
32.48,-86.36,39,581,41,37,37,34
39.02,-94.85,12,206,19,13,13,13
38,-122.03,44,754,83,61,61,61
37.71,-122.09,210,3111,252,192,192,182
32.72,-117.16,111,1762,141,115,115,111
38.96,-76.95,80,1257,108,82,82,79
34.74,-84.76,52,809,48,39,39,38
29.07,-81.27,83,1444,168,128,128,124
42.51,-83.06,103,1598,103,78,78,76
29.99,-95.66,96,1742,149,120,120,119
40.71,-73.79,163,2467,189,136,136,127
34.95,-92.09,59,917,115,95,95,87
34.12,-84,135,2058,230,195,195,185
42.47,-83.18,60,1030,78,66,66,62
29.83,-95.66,144,2333,261,206,205,194
40.71,-73.59,22,423,58,49,49,49
33.03,-97.07,36,597,61,55,55,54
43.67,-79.44,233,2443,124,122,119,115
35.41,-80.84,49,753,79,59,59,59
38.99,-87.75,6,94,5,2,2,2
38.58,-91.5,5,68,6,4,4,4
31.69,-89.14,28,457,42,31,31,30
29.64,-82.41,105,1883,425,403,403,389
39.18,-77.18,45,676,67,55,55,54
40.75,-73.68,49,729,52,45,45,38
39.05,-78.23,29,515,56,46,46,45
29.09,-82.09,42,680,72,53,53,49
33.54,-112.19,98,1556,92,78,79,76
33,-96.78,50,740,50,25,22,20
34.2,-118.05,21,448,49,41,41,39
39.17,-78.17,49,828,83,73,73,71
43.54,-96.7,58,774,56,43,43,40
32.67,-96.75,24,431,48,35,35,33
34.1,-118.33,182,2882,226,205,203,192
28.58,-81.39,49,869,68,56,56,53
41.91,-90.27,58,931,82,48,48,42
35.42,-85.38,22,354,11,9,9,9
41.22,-82.57,97,1650,172,144,144,138
46.16,-114.14,6,85,4,4,4,4
40.74,-73.88,396,6730,496,392,391,376
37.67,-121.94,65,1018,112,95,95,93
37.72,-121.92,125,1964,185,142,142,135
49.17,-122.73,264,2737,141,129,129,127
36.04,-95.88,73,1151,82,56,55,49
25.81,-80.24,168,2680,228,187,188,174
40.45,-74.48,95,2092,489,442,442,428
39.07,-84.48,72,1169,174,169,169,165
36.29,-87.69,15,211,9,1,2,1
42.05,-72.57,64,1015,74,57,57,56
41.61,-73.41,37,743,88,64,64,63
37.77,-97.37,31,478,43,30,30,26
32.76,-97.08,18,446,43,38,38,37
48.31,-78.97,44,558,53,53,53,52
33.61,-84.37,62,933,87,64,64,62
41.23,-75.79,68,1093,215,204,203,194
38.78,-77.12,51,844,81,69,69,67
43.63,-79.36,125,1270,45,44,44,42
32.01,-102.19,59,944,69,54,54,53
33.44,-112.36,85,1420,161,140,139,133
39.79,-105.1,27,413,45,38,38,35
28.09,-82.76,68,1022,128,103,102,96
40.55,-74.18,111,1967,229,197,197,192
28.17,-81.27,60,915,63,42,41,40
42.01,-87.84,30,428,25,20,20,17
37.86,-122.29,69,1074,103,82,82,79
39.05,-94.41,54,881,91,60,60,57
42.6,-83.18,58,872,49,40,40,40
41.67,-71.15,56,754,40,23,23,22
42.27,-85.56,31,498,35,24,24,23
38.86,-77.1,129,2095,161,131,130,122
37.01,-121.88,20,375,50,40,40,38
36.17,-115.21,211,4009,429,372,373,355
34.52,-116.88,15,205,15,8,8,6
42.86,-85.88,57,924,64,51,51,50
39.05,-77.39,56,957,104,86,86,82
29.28,-94.83,57,909,75,59,59,56
47.02,-92.09,8,113,6,5,5,5
40.73,-73.83,80,1246,73,51,51,49
42.76,-114.36,27,391,21,18,18,18
38.11,-122.13,53,777,67,50,50,45
35.52,-98.73,19,269,24,13,13,10
42.44,-122.17,56,861,63,46,46,43
40.74,-74.17,13,258,41,37,37,37
34.2,-118.3,19,341,27,25,25,24
39.75,-105,59,1050,129,112,112,112
43.34,-112.07,5,68,6,2,2,2
31.25,-85.71,13,208,12,10,10,10
29.52,-98.61,56,901,67,58,57,55
41.84,-87.96,4,54,,,,
40.29,-78.85,35,507,39,34,34,32
41.35,-72.04,42,851,112,88,89,84
30.79,-81.57,48,664,36,29,29,27
37.33,-95.26,17,345,35,32,32,32
42.27,-71.85,52,810,49,40,40,37
40.2,-93.11,2,32,5,5,5,5
39.74,-104.86,29,422,39,25,25,24
40.26,-76.86,49,859,78,67,67,65
42.68,-82.78,130,2017,155,124,124,115
39.63,-86.3,78,1325,126,117,117,116
40.21,-74.79,43,619,28,20,20,20
38.5,-90.46,59,1105,121,101,99,99
29.97,-90.7,3,75,9,9,9,9
36.98,-93.23,75,1203,79,63,63,57
43.99,-116.52,13,171,6,5,5,4
39.91,-83.75,65,1253,160,138,138,134
36.01,-115.15,93,1389,130,114,114,106
39.67,-104.93,50,979,106,95,95,95
43.86,-70.1,21,331,12,8,8,8
52.04,-106.66,10,98,,,,
43.73,-79.51,51,540,33,33,33,33
34.17,-118.27,99,1527,159,133,132,126
40.06,-88.26,5,77,18,16,16,15
32.77,-115.6,302,4808,448,393,392,367
43.16,-77.62,21,307,35,24,24,23
34.91,-86.43,5,98,8,5,5,5
46.01,-91.29,20,268,54,47,47,45
35.05,-82.09,60,1118,206,190,189,182
42.1,-84.23,11,162,22,21,21,21
29.67,-95.34,55,842,60,39,39,37
39.94,-83.2,63,1195,194,167,166,161
35.52,-97.64,46,740,69,49,49,45
33.69,-117.85,73,1270,115,97,97,95
34.11,-117.81,98,1542,95,85,85,84
42.95,-81.34,53,513,4,4,4,4
46.82,-100.71,34,563,58,43,43,41
43.52,-96.73,62,978,78,63,63,59
41.88,-70.88,22,403,50,40,40,38
30.23,-85.5,86,1257,93,74,74,68
38.82,-77.63,52,820,75,62,62,58
35.65,-82.98,77,1295,87,72,69,68
44.69,-88.44,2,29,1,1,1,1
33.37,-112.03,41,596,28,23,23,23
-27.93,153.33,15,169,12,11,11,11
42.63,-72.6,37,600,48,38,38,37
40.95,-98.26,49,739,72,50,50,42
37.62,-122.38,5,60,6,5,5,4
35.77,-94.08,3,84,11,9,9,9
38.51,-90.64,9,156,19,14,14,14
45.5,-73.62,37,537,101,101,101,100
41.64,-72.46,8,161,21,17,17,17
32.49,-85.12,49,828,71,63,62,59
25.75,-80.27,75,1285,122,98,98,94
31.99,-87.27,3,22,2,,,
43.39,-71.75,1,1,1,1,1,
40.57,-73.84,102,1459,84,62,62,57
33.79,-84.44,210,2967,211,156,154,143
42.77,-73.89,47,655,35,23,23,19
35.23,-80.91,85,1345,128,95,95,92
42.2,-71.42,9,184,22,18,18,17
40.66,-73.55,98,1716,166,146,146,141
31.19,-83.84,94,1478,97,68,68,68
41.61,-93.55,40,679,66,46,46,44
27.46,-97.84,50,798,72,53,53,45
28.85,-81.69,93,1480,106,90,88,84
44.66,-88.93,8,108,1,1,1,1
26.45,-80.1,61,973,56,40,40,39
40.96,-75.3,92,1352,130,101,101,95
31.72,-83.21,130,2059,133,113,113,114
42.8,-106.22,38,572,24,18,18,18
35.39,-78.87,64,978,84,66,66,65
36.78,-76.08,30,420,25,17,16,15
29.91,-98.44,6,90,10,9,9,8
36.69,-80.23,9,152,15,8,8,8
28.97,-97.55,6,143,13,12,12,12
35.37,-79.14,105,1764,151,126,126,120
45.53,-69.37,1,2,2,1,1,1
42.42,-83.1,21,313,19,17,17,16
40.66,-73.84,32,409,18,14,14,14
27.71,-82.43,63,1116,116,89,89,86
39.17,-76.84,16,232,23,18,18,17
44.09,-91.34,2,27,,,,
37.36,-79.95,31,587,60,51,51,51
26.19,-80.11,61,907,63,51,51,47
26.7,-81.91,42,650,36,30,30,29
39.7,-104.77,38,637,61,42,42,40
40.1,-75.64,20,381,51,50,50,49
27.97,-81.67,120,1740,134,117,117,108
30.48,-87.2,20,358,63,53,53,50
41.21,-96.12,44,864,129,98,98,94
41.87,-87.82,19,360,42,35,35,33
33.48,-84.48,54,772,83,72,72,68
34.71,-79.34,4,58,3,1,1,1
43.07,-92.66,30,448,54,40,40,35
38.83,-77.29,31,438,27,22,22,21
38.39,-81.56,59,930,81,64,64,62
38.36,-88.36,20,276,36,32,32,30
33.48,-96.87,2,27,2,2,2,1
28.63,-81.36,49,877,86,73,73,70
37.34,-77.98,15,241,53,49,49,47
49.1,-117.7,18,206,16,16,16,16
29.83,-95.43,5,81,8,6,6,6
45.45,-75.68,12,113,3,3,3,3
45.02,-93.47,38,636,61,50,49,47
45.35,-73.73,63,663,61,63,64,61
40.88,-73.87,308,4820,382,308,308,289
32.75,-97,37,585,37,31,31,30
46.54,-84.37,15,176,6,6,6,6
39.93,-91.38,45,681,50,38,38,35
-37.84,145.07,124,1398,81,77,75,74
35.51,-81.04,36,754,117,106,106,106
41.87,-88.11,44,723,58,44,44,38
40.64,-78.62,7,85,6,4,4,3
31.28,-92.47,56,886,61,50,50,48
42.39,-122.94,84,1256,78,64,63,60
36.75,-119.77,107,1651,146,128,123,119
32.24,-90.27,62,1314,143,121,121,110
44.31,-72.82,6,92,8,8,8,8
40.56,-90.87,2,28,2,1,1,1
47.48,-121.54,11,160,5,1,1,1
41.11,-81.5,59,979,103,87,86,81
33.81,-117.8,99,1524,109,97,97,95
47.44,-122.11,133,1997,118,91,91,87
25.56,-80.35,14,208,19,17,17,15
36.28,-100.77,28,467,43,41,41,41
40.18,-77.21,121,2388,299,263,263,255
47.5,-122.01,31,483,35,31,31,28
40.05,-74.92,16,274,29,13,13,11
42.42,-114.59,37,594,38,28,28,26
47.66,-122.29,38,657,65,63,63,60
32.87,-115.65,65,1075,112,89,89,83
39.64,-74.97,74,1360,142,119,119,115
39.64,-79.41,3,59,8,5,6,5
38.23,-76.43,69,979,102,91,91,86
33.41,-111.83,132,2230,194,169,169,165
46.12,-67.92,30,436,27,17,17,15
-34.03,150.77,5,49,,,,
41.54,-72.78,74,1205,98,71,71,68
37.19,-94.56,17,326,29,28,28,26
45.93,-87.99,22,353,31,25,25,25
41.82,-89.48,31,483,37,25,25,23
41.17,-81.44,81,1408,155,135,133,131
44.2,-110.86,5,69,1,,,
-33.79,151,65,875,116,110,110,107
32.57,-117.11,45,657,53,42,42,41
40.65,-75.44,57,864,60,53,53,49
44.39,-91.28,9,135,4,2,2,2
36.84,-119.83,123,1941,143,101,102,99
38.27,-121.23,61,866,53,45,45,42
42.39,-72.45,33,484,25,20,20,20
45.55,-73.74,24,274,31,31,31,30
29.32,-98.56,23,326,36,28,28,24
32.3,-90.18,11,179,21,17,17,16
40.1,-75.18,30,399,23,18,18,16
42.42,-73.49,9,125,2,1,1,1
37.24,-76.73,61,912,71,57,57,54
37.27,-79.92,11,145,7,6,6,5
39.77,-86.11,152,2100,97,69,69,64
40.7,-76.17,5,70,3,1,1,1
38.55,-90.38,19,276,14,13,12,12
33.42,-93.87,26,399,23,17,16,15
39.36,-77.66,4,60,5,4,4,4
40.26,-74.95,35,655,64,51,51,50
35.54,-97.62,22,286,10,5,5,3
34.04,-84.17,55,911,87,77,77,74
41.69,-94.56,3,42,2,1,1,1
44.09,-70.24,48,693,31,24,24,24
36.85,-94.4,14,258,27,26,26,24
36.94,-86.33,21,358,26,24,24,21
42.69,-76.8,10,86,10,8,8,8
35.55,-80.41,21,356,18,15,15,15
33.76,-79.15,53,801,57,48,48,46
40.62,-93.78,2,27,,,,
41.58,-90.62,45,607,47,39,38,34
42.43,-89.41,2,24,1,,,
33.01,-85.11,123,1821,141,121,121,112
29.77,-94.91,31,461,24,20,20,18
39.64,-78.77,121,1859,199,172,172,161
29.61,-95.39,36,733,91,75,75,73
40.81,-82.98,25,396,32,28,28,27
42.73,-83.15,43,730,84,71,71,69
39.39,-94.57,9,155,7,5,5,5
39.86,-75.63,9,122,12,12,12,10
41.84,-87.83,14,199,15,9,9,9
41.27,-85.86,57,831,41,27,27,27
41.4,-88.88,31,574,91,80,80,80
39.54,-83.43,60,946,96,80,80,76
39.16,-84.89,44,625,48,38,38,34
32.84,-95.42,8,109,,,,
44.96,-93.38,42,639,73,65,63,63
26.15,-81.74,44,674,53,46,45,42
41.79,-87.97,17,245,10,7,7,7
39.76,-86.55,15,241,14,13,13,13
44.48,-88.02,19,350,56,48,48,46
26.66,-80.13,67,1132,98,82,82,81
38.36,-93.3,4,78,23,21,21,21
35.46,-97.34,33,581,48,34,34,33
39.78,-75.68,42,640,67,60,60,56
42.37,-71.18,33,561,65,57,57,54
43.47,-96.6,22,300,34,27,27,24
38.56,-91.26,1,14,,,,
45.19,-73.85,1,10,,,,
36.75,-85.12,3,55,5,5,5,5
31.58,-86.32,1,14,1,,,
44.06,-80.76,1,10,,,,
33.66,-83.1,2,28,,,,
42.82,-122.51,1,24,5,5,5,5
-32.25,152.52,1,10,,,,
43.93,-79.53,4,40,,,,
43.16,-84.69,1,14,,,,
44.08,-91.45,2,28,1,1,1,1
44.26,-69.82,1,14,,,,
44.01,-76.09,3,34,2,1,1,1
42.95,-74.39,1,13,3,,,
30.57,-90.48,2,28,1,1,1,1
39.72,-83.88,4,56,,,,
41.56,-90.41,1,14,,,,
31.73,-96.88,1,14,,,,
42.63,-98.17,2,21,1,1,1,
62.07,-163.29,1,14,1,,,
40.08,-75.87,1,14,,,,
47.85,-65.77,2,19,,,,
39.5,-75.85,1,14,,,,
30.64,-87.74,1,14,,,,
25.77,-80.19,2,34,1,1,1,1
42.29,-75.85,1,14,1,,,
42.27,-123.6,1,14,,,,
41.17,-79.19,1,14,,,,
-31.55,116.47,1,9,,,,
38.18,-81.55,1,14,,,,
34.15,-118.14,1,7,,,,
27.29,-80.35,1,17,3,2,2,2
-27.97,153.36,2,19,,,,
42.89,-91.21,1,13,1,,,
38.8,-76.99,2,16,1,,,
-37.51,145.12,1,10,,,,
31.45,-98.56,1,14,,,,
47.66,-101.67,1,13,1,,,
34.2,-118.54,1,13,,,,
41.6,-98.95,1,2,1,1,1,
40.5,-89.48,1,7,2,1,1,
34.48,-83.86,1,14,,,,
47.39,-93.88,1,14,,,,
35.72,-96.76,1,15,,,,
40.16,-75.8,1,14,,,,
42.09,-76.05,1,15,1,1,1,1
51.4,-0.26,1,9,,,,
36.32,-81.93,1,16,1,1,1,1
43.04,-72.15,1,2,,1,,
38.87,-76.61,1,7,,,,
39.56,-75.6,1,11,,,,
35.01,-80.35,79,1139,36,31,30,29
39.9,-83.39,22,369,22,21,21,20
31.87,-95.65,18,221,9,5,5,4
39.13,-76.51,117,1976,167,138,138,132
51.02,-114.1,62,672,62,58,58,55
41.11,-112.03,35,489,42,37,33,32
45.28,-75.81,92,933,68,68,68,66
44.41,-69.76,69,1102,97,76,76,73
32.88,-85.83,78,1152,70,61,62,60
31.81,-102.45,31,500,29,20,20,19
40.6,-74.15,189,3033,215,175,175,167
40.73,-73.95,24,356,34,27,27,25
45.63,-73.58,172,1914,165,157,154,151
41.69,-72.79,114,1781,190,165,165,158
40.29,-90.02,4,83,10,8,8,8
42.42,-86.22,62,987,66,56,56,53
42.15,-76.09,72,1108,88,80,80,76
38.77,-77.63,176,2582,163,138,138,131
43.15,-95.14,24,412,64,61,61,56
32.25,-106.82,33,549,63,54,54,50
32.56,-84.11,6,143,38,37,37,37
34.75,-92.29,97,1524,137,112,109,102
46.33,-72.43,32,310,11,10,10,10
31.85,-110.99,3,45,3,2,2,2
37.03,-93.32,46,668,49,41,41,37
47.69,-122.29,77,1046,57,47,47,41
34.48,-114.33,30,431,27,21,21,19
38.64,-84.59,10,174,23,20,20,19
39.75,-92.46,13,209,17,15,15,15
40.8,-77.9,35,551,42,34,34,33
37.54,-85.25,25,425,18,14,14,13
39.11,-84.5,39,614,60,51,53,48
38.39,-121.82,37,525,45,30,30,26
28.24,-82.33,30,482,47,45,45,43
36.3,-115.15,64,1345,134,115,115,110
34.99,-81.2,35,501,31,17,17,14
30.13,-81.78,107,1630,125,101,101,98
29.43,-98.53,47,834,49,40,40,39
35.05,-85.16,112,1882,162,146,146,138
41.42,-75.71,75,1577,327,305,301,284
35.58,-78.25,16,204,4,3,3,1
42.57,-71.28,9,159,18,14,14,13
35.2,-106.7,71,1174,119,108,108,102
42.59,-71.44,19,308,35,34,34,34
38.14,-121.4,74,1148,96,79,79,75
44.55,-89.52,39,599,49,35,35,30
38.48,-82.46,11,183,8,7,7,7
33.98,-84.15,263,3957,235,168,166,158
32.23,-95.3,67,999,76,58,58,57
41.52,-87.24,45,788,63,52,52,51
26.62,-81.88,85,1302,109,87,87,83
34.89,-100.21,1,17,4,4,4,4
39.73,-84.03,20,344,42,40,40,40
39.11,-77.25,129,2030,194,155,155,150
25.89,-80.13,19,292,17,11,11,10
40.53,-88.98,78,1259,89,70,70,66
46.73,-119.73,45,704,33,27,27,25
40.78,-96.7,31,445,31,27,27,24
40.66,-111.88,163,2629,188,148,148,144
32.72,-117,121,2000,214,173,173,166
42.05,-75.89,30,412,19,11,11,10
33.74,-85.8,10,171,17,14,14,12
26.24,-81.76,22,372,31,29,29,29
28.57,-81.59,52,785,73,64,63,60
42.06,-71.12,19,293,14,11,11,11
44.16,-90.43,7,121,4,4,4,4
40.37,-83.75,63,975,124,115,115,112
27.82,-82.73,86,1233,94,73,71,67
35.3,-80.39,13,227,9,9,9,9
41.45,-82.02,68,1169,177,160,160,148
33.56,-86.71,26,330,28,19,19,17
33.98,-78.41,18,274,22,18,18,16
